season,district,role,model_key,n,overall_accuracy,source_file,training_schema_version,c_vegetation_vegetation,c_vegetation_water,c_vegetation_builtarea,c_vegetation_openland,c_vegetation_agriculture,c_water_vegetation,c_water_water,c_water_builtarea,c_water_openland,c_water_agriculture,c_builtarea_vegetation,c_builtarea_water,c_builtarea_builtarea,c_builtarea_openland,c_builtarea_agriculture,c_openland_vegetation,c_openland_water,c_openland_builtarea,c_openland_openland,c_openland_agriculture,c_agriculture_vegetation,c_agriculture_water,c_agriculture_builtarea,c_agriculture_openland,c_agriculture_agriculture
summer,Burhanpur,test,after-svm,80,0.7625,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,19,1,0,0,0,5,8,7,0,0,0,6,14
summer,Chhatarpur,test,after-cart,87,0.62069,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,0,0,0,0,7,0,20,0,0,0,0,0,20,0,0,0,1,11,7,1,1,0,3,9,7
summer,Chhatarpur,test,after-gtb,87,0.758621,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,6,0,0,0,1,0,20,0,0,0,1,0,19,0,0,0,0,5,15,0,0,0,2,12,6
summer,Chhatarpur,test,after-gtb-b19,87,0.724138,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,6,0,0,0,1,0,20,0,0,0,1,0,19,0,0,0,1,7,11,1,0,0,2,11,7
summer,Chhatarpur,test,after-gtb-b22,87,0.735632,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,6,0,0,0,1,0,20,0,0,0,1,0,19,0,0,0,0,6,11,3,0,0,1,11,8
summer,Chhatarpur,test,after-gtb-b27,87,0.712644,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,6,0,0,0,1,0,20,0,0,0,1,0,19,0,0,0,0,8,11,1,0,0,2,12,6
summer,Chhatarpur,test,after-knn,87,0.632184,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,2,0,0,0,5,0,20,0,0,0,2,0,17,0,1,0,0,9,11,0,1,0,3,11,5
summer,Chhatarpur,test,after-rf,87,0.747126,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,6,0,0,0,1,0,20,0,0,0,1,0,19,0,0,0,0,4,16,0,1,0,2,13,4
summer,Chhatarpur,test,after-svm,87,0.643678,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,3,0,0,0,4,0,20,0,0,0,1,0,18,0,1,0,0,8,12,0,1,0,3,13,3
summer,Chhindwara,test,after-cart,100,0.55,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,5,5,0,0,10,0,20,0,0,0,0,0,20,0,0,0,1,12,7,0,2,1,6,8,3
summer,Chhindwara,test,after-gtb,100,0.68,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,7,6,1,0,6,0,20,0,0,0,0,0,20,0,0,0,2,7,10,1,2,0,1,6,11
summer,Chhindwara,test,after-gtb-b19,100,0.62,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,6,6,0,0,8,0,20,0,0,0,0,0,20,0,0,0,3,8,5,4,2,0,1,6,11
summer,Chhindwara,test,after-gtb-b22,100,0.66,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,6,7,0,0,7,0,20,0,0,0,0,0,19,1,0,0,2,7,10,1,2,0,1,6,11
summer,Chhindwara,test,after-gtb-b27,100,0.67,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,7,6,0,0,7,0,20,0,0,0,0,0,20,0,0,0,3,6,9,2,2,0,2,5,11
summer,Chhindwara,test,after-knn,100,0.62,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,6,6,0,0,8,0,20,0,0,0,0,1,19,0,0,0,1,9,10,0,3,0,1,9,7
summer,Chhindwara,test,after-rf,100,0.64,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,6,8,0,0,6,0,20,0,0,0,0,0,19,1,0,0,1,7,10,2,2,0,1,8,9
summer,Chhindwara,test,after-svm,100,0.59,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,4,5,0,0,11,0,20,0,0,0,0,0,20,0,0,0,2,9,9,0,2,0,2,10,6
summer,Damoh,development,after-cart,80,0.7625,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,6,14,0,0,0,4,9,7
summer,Damoh,development,after-gtb,80,0.7375,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,7,13,0,0,1,3,10,6
summer,Damoh,development,after-gtb-b19,80,0.6875,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,7,10,3,0,0,4,11,5
summer,Damoh,development,after-gtb-b22,80,0.7,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,7,11,2,0,0,4,11,5
summer,Damoh,development,after-gtb-b27,80,0.7375,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,7,12,1,0,0,3,10,7
summer,Damoh,development,after-knn,80,0.7125,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,19,0,1,0,0,4,14,2,1,0,4,11,4
summer,Damoh,development,after-rf,80,0.7625,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,4,15,1,1,0,2,11,6
summer,Damoh,development,after-svm,80,0.775,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,3,16,1,0,0,4,10,6
summer,Datia,test,after-cart,100,0.64,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,1,0,0,0,19,0,20,0,0,0,0,0,20,0,0,0,2,5,13,0,1,0,4,5,10
summer,Datia,test,after-gtb,100,0.81,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,15,0,0,0,5,0,20,0,0,0,0,0,20,0,0,0,2,1,14,3,0,0,2,6,12
summer,Datia,test,after-gtb-b19,100,0.72,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,9,0,0,0,11,0,20,0,0,0,0,0,20,0,0,0,2,1,11,6,0,0,2,6,12
summer,Datia,test,after-gtb-b22,100,0.79,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,14,0,0,0,6,0,20,0,0,0,0,0,20,0,0,0,2,1,12,5,0,0,0,7,13
summer,Datia,test,after-gtb-b27,100,0.79,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,16,0,0,0,4,0,20,0,0,0,0,0,20,0,0,0,2,1,11,6,0,0,3,5,12
summer,Datia,test,after-knn,100,0.6,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,1,0,0,0,19,0,20,0,0,0,1,0,19,0,0,0,2,1,11,6,0,0,5,6,9
summer,Datia,test,after-rf,100,0.74,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,10,0,0,0,10,0,20,0,0,0,0,0,19,1,0,0,2,2,14,2,0,0,2,7,11
summer,Datia,test,after-svm,100,0.63,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,1,0,0,0,19,0,20,0,0,0,0,0,20,0,0,0,3,1,13,3,0,0,3,8,9
summer,Dewas,test,after-cart,80,0.725,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,3,5,12,0,1,1,7,5,6
summer,Dewas,test,after-gtb,80,0.8,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,3,4,11,2,0,1,1,5,13
summer,Dewas,test,after-gtb-b19,80,0.7875,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,4,5,10,1,0,0,1,6,13
summer,Dewas,test,after-gtb-b22,80,0.7625,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,2,6,11,1,0,1,2,7,10
summer,Dewas,test,after-gtb-b27,80,0.7875,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,4,5,9,2,0,0,1,5,14
summer,Dewas,test,after-knn,80,0.775,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,19,0,1,0,1,3,12,4,0,0,2,7,11
summer,Dewas,test,after-rf,80,0.8,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,4,3,13,0,0,1,1,7,11
summer,Dewas,test,after-svm,80,0.7375,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,19,0,1,0,2,5,12,1,0,1,3,8,8
summer,Dhar,test,after-cart,100,0.52,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,0,8,0,0,12,0,20,0,0,0,0,0,20,0,0,0,1,11,8,0,0,2,9,5,4
summer,Dhar,test,after-gtb,100,0.7,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,7,0,0,0,13,0,20,0,0,0,0,0,19,0,1,0,1,5,11,3,0,1,5,1,13
summer,Dhar,test,after-gtb-b19,100,0.69,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,7,0,0,0,13,0,20,0,0,0,0,0,20,0,0,0,1,7,8,4,0,1,3,2,14
