season,realisation,held_out_blocks,protocol,model,train_n,test_n,overall_accuracy,class_balanced_accuracy,kappa,reference_Veg.,reference_Water,reference_Built,reference_Open,reference_Agri.
winter,7,7|8|9,spatially_blocked,knn,4329,671,0.9090909090909091,0.9116152150293108,0.8646058681485892,50,320,97,204,0
winter,7,7|8|9,spatially_blocked,rf,4329,671,0.8986587183308494,0.8927649964625026,0.8494865561159692,50,320,97,204,0
winter,7,7|8|9,spatially_blocked,svm,4329,671,0.9076005961251863,0.9076860660501314,0.8622933672287211,50,320,97,204,0
summer,0,0|1|2,random,cart,4722,267,0.7677902621722846,0.7689985514425057,0.7101687793262833,55,52,46,61,53
summer,0,0|1|2,random,gtb,4722,267,0.9363295880149812,0.9345958733368462,0.9202494948607572,55,52,46,61,53
summer,0,0|1|2,random,knn,4722,267,0.9026217228464419,0.9017565943786039,0.8780886149307202,55,52,46,61,53
summer,0,0|1|2,random,rf,4722,267,0.9288389513108615,0.9262578962747066,0.9108529856254174,55,52,46,61,53
summer,0,0|1|2,random,svm,4722,267,0.9176029962546817,0.9163492617604426,0.8967843964153928,55,52,46,61,53
summer,0,0|1|2,spatially_blocked,cart,4722,278,0.697841726618705,0.550220088035214,0.45543584720861896,14,0,68,0,196
summer,0,0|1|2,spatially_blocked,gtb,4722,278,0.8201438848920863,0.630452180872349,0.6284018606640646,14,0,68,0,196
summer,0,0|1|2,spatially_blocked,knn,4722,278,0.7517985611510791,0.5789315726290516,0.5257380210651239,14,0,68,0,196
summer,0,0|1|2,spatially_blocked,rf,4722,278,0.8309352517985612,0.6291516606642656,0.6470747123332075,14,0,68,0,196
summer,0,0|1|2,spatially_blocked,svm,4722,278,0.7841726618705036,0.5753301320528211,0.5519982810485604,14,0,68,0,196
summer,1,1|2|3,random,cart,3925,1042,0.789827255278311,0.794500302106011,0.7374345450340521,199,208,200,205,230
summer,1,1|2|3,random,gtb,3925,1042,0.918426103646833,0.919743427349653,0.8979797526034917,199,208,200,205,230
summer,1,1|2|3,random,knn,3925,1042,0.8877159309021113,0.8901157900195159,0.8596642689163848,199,208,200,205,230
summer,1,1|2|3,random,rf,3925,1042,0.9078694817658349,0.9096748318638628,0.8847811138332464,199,208,200,205,230
summer,1,1|2|3,random,svm,3925,1042,0.8925143953934741,0.8938054381951359,0.8655428105313123,199,208,200,205,230
summer,1,1|2|3,spatially_blocked,cart,3925,1075,0.6316279069767442,0.7897019781092034,0.5057098236834314,14,0,158,303,600
summer,1,1|2|3,spatially_blocked,gtb,3925,1075,0.786046511627907,0.6967579255665168,0.6753540905384591,14,0,158,303,600
summer,1,1|2|3,spatially_blocked,knn,3925,1075,0.7432558139534884,0.6659351407563903,0.6183613591840883,14,0,158,303,600
summer,1,1|2|3,spatially_blocked,rf,3925,1075,0.7590697674418605,0.666536555780352,0.6428928723507955,14,0,158,303,600
summer,1,1|2|3,spatially_blocked,svm,3925,1075,0.7758139534883721,0.6742750986219779,0.661446967103217,14,0,158,303,600
summer,2,2|3|4,random,cart,3099,1849,0.8069226608977826,0.80613177391182,0.7586620794547995,379,377,367,366,360
summer,2,2|3|4,random,gtb,3099,1849,0.9286100594916171,0.9282340737391287,0.9107599706174969,379,377,367,366,360
summer,2,2|3|4,random,knn,3099,1849,0.8983234180638183,0.8975779574352316,0.8728874577235574,379,377,367,366,360
summer,2,2|3|4,random,rf,3099,1849,0.9199567333693889,0.9193842405041008,0.8999388265595843,379,377,367,366,360
summer,2,2|3|4,random,svm,3099,1849,0.9107625743645213,0.9103823018040039,0.8884612192654603,379,377,367,366,360
summer,2,2|3|4,spatially_blocked,cart,3099,1901,0.6233561283534982,0.6487201857373356,0.5280402057444505,69,144,520,431,737
summer,2,2|3|4,spatially_blocked,gtb,3099,1901,0.7916885849552867,0.8058614692399366,0.7236991622842949,69,144,520,431,737
summer,2,2|3|4,spatially_blocked,knn,3099,1901,0.7196212519726459,0.753024065279516,0.6373150302466263,69,144,520,431,737
summer,2,2|3|4,spatially_blocked,rf,3099,1901,0.7790636507101526,0.8066772885742999,0.7094884009308947,69,144,520,431,737
summer,2,2|3|4,spatially_blocked,svm,3099,1901,0.7548658600736454,0.7957339647941767,0.6803442988937013,69,144,520,431,737
summer,3,3|4|5,random,cart,1894,3106,0.8361236316806182,0.8350999408541121,0.7950440972667863,629,606,628,633,610
summer,3,3|4|5,random,gtb,1894,3106,0.916613007083065,0.9162349817277452,0.8957481473341102,629,606,628,633,610
summer,3,3|4|5,random,knn,1894,3106,0.8918222794591114,0.891167303785314,0.8647279701223977,629,606,628,633,610
summer,3,3|4|5,random,rf,1894,3106,0.9175788795878944,0.9171635281218089,0.8969489536146132,629,606,628,633,610
summer,3,3|4|5,random,svm,1894,3106,0.9011590470057952,0.9006197236912319,0.8764195893086074,629,606,628,633,610
summer,3,3|4|5,spatially_blocked,cart,1894,3084,0.812905317769131,0.8199765884715265,0.7635006100983267,306,600,745,706,727
summer,3,3|4|5,spatially_blocked,gtb,1894,3084,0.8518158236057068,0.8587351057354313,0.8119736227190735,306,600,745,706,727
summer,3,3|4|5,spatially_blocked,knn,1894,3084,0.8313878080415046,0.8433244574301583,0.7870362599292247,306,600,745,706,727
summer,3,3|4|5,spatially_blocked,rf,1894,3084,0.8518158236057068,0.8559803374881092,0.8120273385583973,306,600,745,706,727
summer,3,3|4|5,spatially_blocked,svm,1894,3084,0.8625162127107653,0.8687207369370471,0.8255961116251254,306,600,745,706,727
summer,4,4|5|6,random,cart,1754,3246,0.8274799753542822,0.8275461302354964,0.7842890168320689,644,645,640,659,658
summer,4,4|5|6,random,gtb,1754,3246,0.911275415896488,0.9113045697523147,0.8890773496258333,644,645,640,659,658
summer,4,4|5|6,random,knn,1754,3246,0.8810844115834874,0.8814159210399535,0.8513563644547251,644,645,640,659,658
summer,4,4|5|6,random,rf,1754,3246,0.9026494146642021,0.9026854746209725,0.87829213442617,644,645,640,659,658
summer,4,4|5|6,random,svm,1754,3246,0.9011090573012939,0.9012398772948268,0.8763688561800147,644,645,640,659,658
summer,4,4|5|6,spatially_blocked,cart,1754,3244,0.49969173859432797,0.5653068104341648,0.3958624070301489,936,680,735,493,400
summer,4,4|5|6,spatially_blocked,gtb,1754,3244,0.7700369913686806,0.7889104690505734,0.7141925494043395,936,680,735,493,400
summer,4,4|5|6,spatially_blocked,knn,1754,3244,0.8020961775585697,0.8084381828770411,0.7514617960379679,936,680,735,493,400
summer,4,4|5|6,spatially_blocked,rf,1754,3244,0.8057953144266338,0.8151095791101586,0.7569670180226986,936,680,735,493,400
summer,4,4|5|6,spatially_blocked,svm,1754,3244,0.8061035758323057,0.8224848453970447,0.7575620615154445,936,680,735,493,400
summer,5,5|6|7,random,cart,2317,2659,0.7939074840165475,0.7927410039100654,0.7422078455128059,530,522,532,563,512
summer,5,5|6|7,random,gtb,2317,2659,0.9240315908236179,0.9237360047157257,0.9050194251843049,530,522,532,563,512
summer,5,5|6|7,random,knn,2317,2659,0.8901842798044377,0.8894488299862845,0.862675339527577,530,522,532,563,512
summer,5,5|6|7,random,rf,2317,2659,0.9138773975178639,0.9132154478746513,0.8923135474325584,530,522,532,563,512
summer,5,5|6|7,random,svm,2317,2659,0.8980819857089132,0.8976414525105607,0.8725735600070806,530,522,532,563,512
summer,5,5|6|7,spatially_blocked,cart,2317,2683,0.5247856876630638,0.6246932851997606,0.439995134698619,867,724,415,414,263
summer,5,5|6|7,spatially_blocked,gtb,2317,2683,0.8695490122996645,0.860376667264884,0.83191230119855,867,724,415,414,263
summer,5,5|6|7,spatially_blocked,knn,2317,2683,0.8423406634364518,0.8322594415527746,0.7972584283392204,867,724,415,414,263
summer,5,5|6|7,spatially_blocked,rf,2317,2683,0.8691762951919493,0.8593576559882715,0.8313840614910054,867,724,415,414,263
summer,5,5|6|7,spatially_blocked,svm,2317,2683,0.8878121505777116,0.8834089283585103,0.8553340338685993,867,724,415,414,263
summer,6,6|7|8,random,cart,3467,1494,0.8192771084337349,0.8169061951498608,0.7738974853956542,302,302,316,290,284
summer,6,6|7|8,random,gtb,3467,1494,0.9257028112449799,0.9251168653646916,0.9071097448674372,302,302,316,290,284
summer,6,6|7|8,random,knn,3467,1494,0.892904953145917,0.8914921945291413,0.8660658755977001,302,302,316,290,284
summer,6,6|7|8,random,rf,3467,1494,0.9183400267737617,0.9175532512647377,0.8979066917305024,302,302,316,290,284
summer,6,6|7|8,random,svm,3467,1494,0.9036144578313253,0.903068386121854,0.8795201774133933,302,302,316,290,284
