season,district,role,consensus_class,eligible_area_km2,sample_n,sampled,exclusion_reason,weight_scale_m
winter,Anuppur,test,Vegetation,29.2155,20,yes,,10
winter,Anuppur,test,Water,5.4491,20,yes,,10
winter,Ashoknagar,test,Agriculture,3414.2353,20,yes,,10
winter,Ashoknagar,test,Built Area,5.2054,20,yes,,10
winter,Ashoknagar,test,Open Land,0.9736,20,yes,,10
winter,Ashoknagar,test,Vegetation,0.8586,20,yes,,10
winter,Ashoknagar,test,Water,59.821,20,yes,,10
winter,Balaghat,test,Agriculture,2818.3695,20,yes,,10
winter,Balaghat,test,Built Area,0.1522,20,yes,,10
winter,Balaghat,test,Open Land,14.793,20,yes,,10
winter,Balaghat,test,Vegetation,525.8484,20,yes,,10
winter,Balaghat,test,Water,21.9645,20,yes,,10
winter,Barwani,development,Agriculture,2153.8575,20,yes,,10
winter,Barwani,development,Built Area,3.4971,20,yes,,10
winter,Barwani,development,Open Land,3.0871,20,yes,,10
winter,Barwani,development,Vegetation,1.4627,20,yes,,10
winter,Barwani,development,Water,63.0894,20,yes,,10
winter,Betul,test,Agriculture,4202.1116,20,yes,,10
winter,Betul,test,Built Area,10.659,20,yes,,10
winter,Betul,test,Open Land,1.8569,20,yes,,10
winter,Betul,test,Vegetation,145.5811,20,yes,,10
winter,Betul,test,Water,23.2705,20,yes,,10
winter,Bhind,test,Agriculture,3388.0872,20,yes,,10
winter,Bhind,test,Built Area,6.4281,20,yes,,10
winter,Bhind,test,Open Land,7.6461,20,yes,,10
winter,Bhind,test,Vegetation,35.8832,20,yes,,10
winter,Bhind,test,Water,15.2535,20,yes,,10
winter,Bhopal,test,Agriculture,1804.9054,20,yes,,10
winter,Bhopal,test,Built Area,24.8762,20,yes,,10
winter,Bhopal,test,Open Land,0.8677,20,yes,,10
winter,Bhopal,test,Vegetation,1.1495,20,yes,,10
winter,Bhopal,test,Water,39.0497,20,yes,,10
winter,Burhanpur,test,Agriculture,1285.2594,20,yes,,10
winter,Burhanpur,test,Built Area,3.0728,20,yes,,10
winter,Burhanpur,test,Open Land,0.8264,20,yes,,10
winter,Burhanpur,test,Vegetation,0.1994,20,yes,,10
winter,Burhanpur,test,Water,12.3167,20,yes,,10
winter,Chhatarpur,test,Agriculture,5562.4908,20,yes,,10
winter,Chhatarpur,test,Built Area,3.2295,20,yes,,10
winter,Chhatarpur,test,Open Land,3.3146,20,yes,,10
winter,Chhatarpur,test,Vegetation,8.1318,20,yes,,10
winter,Chhatarpur,test,Water,36.2452,20,yes,,10
winter,Chhindwara,test,Agriculture,4806.6569,20,yes,,10
winter,Chhindwara,test,Built Area,10.3372,20,yes,,10
winter,Chhindwara,test,Open Land,3.6598,20,yes,,10
winter,Chhindwara,test,Vegetation,149.4441,20,yes,,10
winter,Chhindwara,test,Water,75.8317,20,yes,,10
winter,Damoh,development,Agriculture,3753.6971,20,yes,,10
winter,Damoh,development,Built Area,2.8957,20,yes,,10
winter,Damoh,development,Open Land,2.9375,20,yes,,10
winter,Damoh,development,Vegetation,1.1051,20,yes,,10
winter,Damoh,development,Water,25.7025,20,yes,,10
winter,Datia,test,Agriculture,1919.6104,20,yes,,10
winter,Datia,test,Built Area,4.5105,20,yes,,10
winter,Datia,test,Open Land,2.2789,20,yes,,10
winter,Datia,test,Vegetation,20.8794,20,yes,,10
winter,Datia,test,Water,5.9442,20,yes,,10
winter,Dewas,test,Agriculture,4351.2679,20,yes,,10
winter,Dewas,test,Built Area,22.5837,20,yes,,10
winter,Dewas,test,Open Land,0.8528,20,yes,,10
winter,Dewas,test,Vegetation,1.6728,20,yes,,10
winter,Dewas,test,Water,23.1358,20,yes,,10
winter,Dhar,test,Agriculture,5216.7714,20,yes,,10
winter,Dhar,test,Built Area,24.4373,20,yes,,10
winter,Dhar,test,Open Land,4.3033,20,yes,,10
winter,Dhar,test,Vegetation,1.0536,20,yes,,10
winter,Dhar,test,Water,53.289,20,yes,,10
winter,Dindori,training-withheld,Agriculture,1966.2583,20,yes,,10
winter,Dindori,training-withheld,Built Area,0.7883,20,yes,,10
winter,Dindori,training-withheld,Open Land,0.4385,20,yes,,10
winter,Dindori,training-withheld,Vegetation,695.8518,20,yes,,10
winter,Dindori,training-withheld,Water,14.5652,20,yes,,10
winter,East Nimar,test,Agriculture,3785.1409,20,yes,,10
winter,East Nimar,test,Built Area,8.3641,20,yes,,10
winter,East Nimar,test,Open Land,3.149,20,yes,,10
winter,East Nimar,test,Vegetation,9.2143,20,yes,,10
winter,East Nimar,test,Water,574.9211,20,yes,,10
winter,Guna,test,Agriculture,4167.2325,20,yes,,10
winter,Guna,test,Built Area,10.1052,20,yes,,10
winter,Guna,test,Open Land,1.3488,20,yes,,10
winter,Guna,test,Vegetation,2.8442,20,yes,,10
winter,Guna,test,Water,23.2607,20,yes,,10
winter,Gwalior,test,Agriculture,2370.9103,20,yes,,10
winter,Gwalior,test,Built Area,6.7156,20,yes,,10
winter,Gwalior,test,Open Land,1.6741,20,yes,,10
winter,Gwalior,test,Vegetation,3.809,20,yes,,10
winter,Gwalior,test,Water,29.9228,20,yes,,10
winter,Harda,development,Agriculture,2117.9681,20,yes,,10
winter,Harda,development,Built Area,7.9179,20,yes,,10
winter,Harda,development,Open Land,0.3411,20,yes,,10
winter,Harda,development,Vegetation,9.4012,20,yes,,10
winter,Harda,development,Water,24.9026,20,yes,,10
winter,Hoshangabad,development,Agriculture,3529.3486,20,yes,,10
winter,Hoshangabad,development,Built Area,11.9465,20,yes,,10
winter,Hoshangabad,development,Open Land,27.7991,20,yes,,10
winter,Hoshangabad,development,Vegetation,210.7608,20,yes,,10
winter,Hoshangabad,development,Water,120.492,20,yes,,10
winter,Indore,test,Agriculture,2684.5069,20,yes,,10
winter,Indore,test,Built Area,65.036,20,yes,,10
winter,Indore,test,Open Land,1.4144,20,yes,,10
winter,Indore,test,Vegetation,2.6848,20,yes,,10
winter,Indore,test,Water,8.2535,20,yes,,10
winter,Jabalpur,training-withheld,Agriculture,2254.7312,19,yes,,10
winter,Jabalpur,training-withheld,Built Area,4.4598,18,yes,,10
winter,Jabalpur,training-withheld,Open Land,1.7211,13,yes,,10
winter,Jabalpur,training-withheld,Vegetation,15.6946,19,yes,,10
winter,Jabalpur,training-withheld,Water,59.3059,19,yes,,10
winter,Jhabua,development,Agriculture,3186.4786,20,yes,,10
winter,Jhabua,development,Built Area,4.7625,20,yes,,10
winter,Jhabua,development,Open Land,1.2882,20,yes,,10
winter,Jhabua,development,Vegetation,10.6444,20,yes,,10
winter,Jhabua,development,Water,42.2261,20,yes,,10
winter,Katni,training-withheld,Agriculture,3409.4713,20,yes,,10
winter,Katni,training-withheld,Built Area,6.232,19,yes,,10
winter,Katni,training-withheld,Open Land,10.0535,20,yes,,10
winter,Katni,training-withheld,Vegetation,37.5125,20,yes,,10
winter,Katni,training-withheld,Water,50.4471,20,yes,,10
winter,Mandla,training-withheld,Agriculture,2315.1971,20,yes,,10
winter,Mandla,training-withheld,Built Area,1.1179,20,yes,,10
winter,Mandla,training-withheld,Open Land,3.7233,20,yes,,10
winter,Mandla,training-withheld,Vegetation,196.3151,20,yes,,10
winter,Mandla,training-withheld,Water,117.9322,20,yes,,10
winter,Mandsaur,development,Agriculture,3663.9249,20,yes,,10
winter,Mandsaur,development,Built Area,26.2828,20,yes,,10
winter,Mandsaur,development,Open Land,4.0527,20,yes,,10
winter,Mandsaur,development,Vegetation,0.7926,20,yes,,10
winter,Mandsaur,development,Water,380.2352,20,yes,,10
winter,Morena,test,Agriculture,2837.6568,20,yes,,10
winter,Morena,test,Built Area,0.697,20,yes,,10
winter,Morena,test,Open Land,38.0363,20,yes,,10
winter,Morena,test,Vegetation,0.986,20,yes,,10
winter,Morena,test,Water,32.9409,20,yes,,10
winter,Narsinghpur,test,Agriculture,2990.756,20,yes,,10
winter,Narsinghpur,test,Built Area,6.7311,20,yes,,10
winter,Narsinghpur,test,Open Land,10.0628,20,yes,,10
winter,Narsinghpur,test,Vegetation,62.2184,20,yes,,10
winter,Narsinghpur,test,Water,18.5949,20,yes,,10
winter,Neemuch,development,Agriculture,1852.9886,20,yes,,10
winter,Neemuch,development,Built Area,5.7581,20,yes,,10
winter,Neemuch,development,Open Land,1.9594,20,yes,,10
winter,Neemuch,development,Vegetation,0.5424,20,yes,,10
