season,district,role,model_key,stored_n,rerun_n,stored_overall_accuracy,rerun_overall_accuracy,matrix_redistribution,identical
winter,Anuppur,test,after-gtb,100,100,0.75,0.75,0,True
winter,Anuppur,test,after-gtb-b19,100,100,0.74,0.74,1,False
winter,Anuppur,test,after-gtb-b22,100,100,0.74,0.73,2,False
winter,Anuppur,test,after-gtb-b27,100,100,0.72,0.72,0,True
winter,Anuppur,test,after-knn,100,100,0.74,0.74,0,True
winter,Anuppur,test,after-rf,100,100,0.75,0.75,0,True
winter,Anuppur,test,after-svm,100,100,0.74,0.74,0,True
winter,Ashoknagar,test,after-cart,100,100,0.85,0.85,0,True
winter,Ashoknagar,test,after-gtb,100,100,0.9,0.9,0,True
winter,Ashoknagar,test,after-gtb-b19,100,100,0.87,0.87,0,True
winter,Ashoknagar,test,after-gtb-b22,100,100,0.86,0.86,0,True
winter,Ashoknagar,test,after-gtb-b27,100,100,0.86,0.86,2,False
winter,Ashoknagar,test,after-knn,100,100,0.88,0.88,0,True
winter,Ashoknagar,test,after-rf,100,100,0.86,0.86,0,True
winter,Ashoknagar,test,after-svm,100,100,0.89,0.89,0,True
winter,Balaghat,test,after-cart,100,100,0.78,0.78,0,True
winter,Balaghat,test,after-gtb,100,100,0.77,0.77,0,True
